name,description,category,price,stock,status,picture,created_time,updated_time
"Baylis & Harding Jojoba, Vanilla & Almond Oil Glossy Lip Trio Gift Set","Our glossy lip trio is the perfect stocking filler for this party season.• Luxury three 2.5ml lip glosses• Luxury formula to softly moisturise and gloss up your lip look• Baylis & Harding's iconic Jojoba, Vanilla & Almond Oil fragrance.• Not tested on animals or contains animal derived materials.• Suitable for VegansFeminine blends of jojoba, rich vanilla and sweet almond oil characterise this beautifullyopulent collection. Inspired by trending astrological beauty aesthetics, our Jojoba, Vanilla & Almond oil collection is brought to life through sustainable metallics, multi-faceted shimmers and a futuristic colour palette of nude pinks, celestial lilacs and hints of aqua complimented with a holographic foil.Founded in 1970 in the Heart of England, Baylis & Harding is a family business which has grown from humble beginnings to become an award winning, international success. Beautifully made, beautifully packaged and beautifully fragranced, Baylis & Harding create gifts that are opened with delight and products to make both you and your home feel more wonderful.",gift,9.00,47,active,product_images/Gift sets_1.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Garnier Ultimate Face & Eye Set,"A treat for face & eyes. Pamper your skin weekly with our Vitamin C Sheet Mask, enriched with Vitamin C* and Hyaluronic Acid to give your skin a fast glow up. In just 15 minutes: skin is intensely rehydrated and feels smoother. *Vitamin C Derivative.Hydrate with the Pomegranate sheet mask. This hydrating sheet mask is infused with the quantity of one bottle of serum** that strengthens the skin barrier for up to 24-hour hydration. Enriched with Hyaluronic Acid and Pomegranate for a fresh and replumping effect. Suitable for all skin types, even sensitive. Treat your eyes with the orange juice and hyaluronic acid eye patches. They will leave the eye area looking brighter, refreshed and awake. Ophthalmologically tested and safe to use around the delicate area around the eye.**Based on the amount of a 28ml serum",gift,8.00,62,active,product_images/Gift sets_2.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Spider-Man Bath Lab Set,China,gift,6.00,79,active,product_images/Gift sets_3.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Brushworks Shower Pamper Set,"Discover the Brushworks Shower Pamper Set - Elevate Your Shower Experience!Experience the epitome of shower indulgence with the Brushworks Shower Pamper Set. This set includes a range of shower essentials, carefully selected to enhance your shower routine to leave you feeling refreshed, revitalized, and pampered from head to toe. Brushworks Shower Pamper Set features a shower comb, scalp massaging brush, exfoliating gloves, and an ultra-soft microfiber hair towel.Say goodbye to tangled and damaged hair with our shower comb. Crafted with wide teeth, it effortlessly glides through wet hair, preventing breakage and minimizing damage.Indulge in a blissful scalp massage with our scalp massaging brush. Equipped with soft silicone bristles, this brush provides gentle stimulation to your scalp, promoting blood circulation andrelaxation.",gift,15.00,8,active,product_images/Gift sets_4.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Pepe Jeans London Gift Set,Pepe Jeans London Gift Set,gift,29.00,54,active,product_images/Gift sets_5.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Floral Cosy Pamper Set,Floral Cosy Pamper Set,gift,8.00,93,active,product_images/Gift sets_6.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Lynx Black Duo Gift Set,"So, it’s gift-giving time again. The age-old question, ‘What will I get him?’ Relax. The answer’s simple. The legendary LYNX Black The Sidekick Duo Gift Set, the go-to for gift givers everywhere, guaranteed to please, year after great-smelling year. Whoever he is, whatever the occasion, it’s the gift that always feels fresh. Teaming full-size LYNX Black Body Wash and Deodorant Body Spray together, this set of gifts for him will up his fragrance game with a refreshing frozen pear and cedarwood scent that doesn’t need to shout to make its voice heard. The shower gel kicks odour to the kerb, leaving him in control and confident with 12 hours of freshness. Plus, it contains 100% plant-based moisturisers for naturally soft and silky skin. The men's deodorant features our revolutionary dual-action technology that fights odour-causing bacteria to help him bust odour and smell iconic for 48 hours. Packaged and ready to gift in a box, these gifts for him will help him stay at the top of his game and have the confidence to be the best version of the only thing he can be: himself. Son, brother, husband, dad, uncle, cousin… whoever you’re buying for, there’ll be no fake smiles or eye rolling when he opens this one because he’ll actually like it. And use it. And every time he does, he’ll remember the great gift you gave him. Probably. The point is, we know guys want to smell good and that’s why our gift sets always hit the spot.",gift,8.00,17,active,product_images/Gift sets_7.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Lynx Africa Washbag Gift Set,"So, it’s gift-giving time again. The age-old question: ‘What will I get him?’ Relax. The answer’s simple. Time to take the guesswork out of getting it right and grab the LYNX XXL Africa Washbag Gift Set. Son, brother, husband, dad, uncle, cousin... whoever he is, whatever the occasion, there’ll be no fake happiness when he unwraps this bad boy. Trust us. Teaming full-size LYNX Africa Body Wash, Body Spray and Anti-Perspirant Deodorant together, this set of gifts for him has got him covered with the greatest fragrance of all time, featuring squeezed mandarin and sandalwood notes. The shower gel helps him kick-start his day with a powerful blast of spicy freshness and leaves him feeling clean and smelling 100% irresistible for up to 12 hours. Plus, it contains 100% plant-based moisturisers for naturally soft skin. The body spray features our revolutionary dual-action technology that fights odour-causing bacteria to help him bust odour and smell iconic for 48 hours. Developed using our unique pro-scent technology, the anti-perspirant deodorant guarantees up to 72 hours of dryness and freshness, protecting against wetness and body odour before they even start. The trio comes in a practical washbag designed to hold all his favourite LYNX essentials on the go. Our gift set will help him stay at the top of his game and have the confidence to be the best version of the only thing he can be: himself. *Kantar Usage, GB Male Deodorant & Shower % Weekly Occasions. June 2018–2022.",gift,18.00,31,active,product_images/Gift sets_8.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Old Spice Footballer Body Duo Gift Set,"Looking for the perfect gift for him? Old Spice gift sets for men are the coolest gift to wow the modern man. Why you ask? Because you simply can't go wrong with the perfume quality scents of Old Spice. The Old Spice Footballer Gift Set box contains the Captain deodorant spray and the men's shower gel. The toiletries comes packed in a carton box with the Footballer Design that is ideal for all the soccer-obsessed men in your life. Try the perfume quality scent of Captain: the fragrance of fierce ocean waves, sandalwood and zesty bergamot transforms you into a fearless captain of freshness. Looking for the perfect gift for him? Old Spice gift sets for men are the coolest gift to wow the modern man. Why you ask? Because you simply can't go wrong with the perfume quality scents of Old Spice.",gift,8.00,57,active,product_images/Gift sets_9.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Revolution Floral Mini Scented Candle Trio Gift Set,Revolution Floral Mini Scented Candle Trio Gift Set,gift,20.00,32,active,product_images/Gift sets_10.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Beautopia Make Up Prep Set,"Prep to perfection with our Make-Up Prep Set!Glow Sheet MaskYou dew you with this skin-quenching miracle Mask! With hero ingredients including hydrating hyaluronic acid, plumping peptide PGA and amazingly antioxidising hibiscus extract, you'll be the star of the glow!",gift,14.00,61,active,product_images/Gift sets_11.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Brushworks Luxury Purple Hair Styling Set,Effortlessly style and set your hair with this cruelty-free and vegan detangling brush and clip set. This set includes; Detangling hair brush and six no crease clips.,gift,8.00,32,active,product_images/Gift sets_12.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Dove Nourish Bodywash Collection Advance Duo Gift Set,"Know someone who’s into confidence-inspiring natural beauty in a big way? You’ve just found the perfect gifts for her. Dove believes that beauty is not defined by shape, size or colour. It’s about feeling like the best version of yourself. Authentic. Unique. Real. That’s why the Dove Nourish Body Wash Collection Gift Set features a luxury shower puff and two Dove products that will transform her daily routine into a caring ritual and leave her feeling naturally beautiful all day. Dove Advanced Care Body Washes use 24-hour renewing MicroMoisture technology to deposit millions of powerfully moisturising droplets onto her skin. Instead of getting washed off, they absorb deeply and work continuously with her skin’s natural renewal process to strengthen its barrier and help retain and boost moisture, even after showering. Dove Gentle Scrub shower gel washes away dead skin with exfoliating minerals while ensuring her microbiome is given the nutrients it needs to protect itself and minimise skin dryness. Dove Deeply Nourishing shower gel indulges her senses with a rich and creamy lather that leaves her skin softer and smoother before she’s even stepped out of the shower. Help her look and feel her best no matter the occasion with this selection of pampering gifts from Dove – the perfect stocking filler, birthday treat or all-year-round gift. Caring for her never felt so good.",gift,10.00,61,active,product_images/Gift sets_13.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Technic Skincare Gift Set,Technic Skincare Gift Set,gift,20.00,31,active,product_images/Gift sets_14.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Beautopia Hair Oil Duo Gift Set,Keep your hair in tip-top condition using our Hair Oil Duo. Help to promote hair growth and reduce dandruff by stimulating the scalp with our handheld massager. Use the hair oil to nourish and help prevent hair breakage.,gift,10.00,52,active,product_images/Gift sets_15.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Fizz Creations Blingo Board Game,Fizz,gift,10.00,97,active,product_images/Gift sets_16.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Revolution Do Not Disturb Skin Treats Collection Gift Set,Revolution Do Not Disturb Skin Treats Collection Gift Set,gift,15.00,39,active,product_images/Gift sets_17.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Skin Treats Serum Sheet Masks Spa Set,Skin Treats Serum Sheet Mask Set,gift,1.75,33,active,product_images/Gift sets_18.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Stranger Things Mug Set,Stranger Things Mug Set ,gift,12.00,82,active,product_images/Gift sets_19.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Police Original Eau De Toilette + Shower & Shampoo Gift Set,Police Original Gift Set,gift,30.00,36,active,product_images/Gift sets_20.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Beautopia Goodnight Set,"Goodnight SetEnjoy a perfect night's sleep with our Pillowcase, Sleep Mask & Scrunchie Goodnight Set.",gift,14.00,82,active,product_images/Gift sets_21.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Ready Get Set Shine Gift Set,"Know someone who’s into confidence-inspiring natural beauty in a big way? You’ve just found the perfect gifts for her. The Ready Get Set Shine Gift Set is packed full of self-care products to help her indulge in a complete relaxation routine. Combining the stimulating scent of ginger with the citrusy tang of grapefruit, RADOX Mineral Therapy Feel Uplifted Shower Gel features a unique blend of minerals and herbs that activates with hot water to cleanse her skin and revive her senses. Using gentle cleansers and triple-purified water, Simple Kind to Skin Biodegradable Cleansing Wipes gently and effectively lift away grease, impurities and make-up, removing even waterproof mascara. Made with triple-purified petroleum jelly and sweet almond and rose oils, Vaseline Lip Therapy Rosy Lips lip balm provides long-lasting moisturisation and relieves dry, chapped lips whilst leaving a natural, glossy shine and a refreshing floral scent. Featuring a vibrant mix of succulent fruit and gentle floral notes, LYNX Attract for Her Body Spray Deodorant uses a revolutionary dual-action technology to fight odour-causing bacteria, helping her beat odour and smell irresistible for up to 48 hours. The gift set is completed with a pink washbag to help her keep her favourite essentials in one place, even on the go. Help her shine with this selection of beauty products from RADOX, Simple, Vaseline and LYNX – the perfect stocking filler, birthday treat or all-year-round winning gift.",gift,18.00,64,active,product_images/Gift sets_22.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
"Baylis & Harding Jojoba, Vanilla & Almond Oil Candle Gift Set","Jojoba, Vanilla & Almond Oil CollectionFeminine blends on jojoba, rich vanilla and sweet almond oil envelop your senses in this opulently fragrance collection.Timelessly pretty pinks are paired with trending lilac for a refined and luxe look.",gift,20.00,56,active,product_images/Gift sets_23.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Minions Tubez Light,Minions Tubez Light,gift,10.00,16,active,product_images/Gift sets_24.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Body Collection Balancing Facial Oil Set,Body Collection Balancing Facial Set,gift,3.75,45,active,product_images/Gift sets_25.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Baylis & Harding Moonlight Fig Gift Wrapped Candlelit Bathing Gift Set,Baylis & Harding Moonlight Fig Gift Wrapped Candlelit Bathing Gift Set ,gift,22.00,35,active,product_images/Gift sets_26.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
Peppa Pig Alphabet Set,"Wet, stick and play with Peppa & George!Set contains Peppa & George characters and 60 colourful letters to enable you & your child to spell and learn lots of new words together! Includes a handy net bag to keep your letters fresh. After use, simply scoop letters back into the net bag and secure sucker to the bathroom tiles to dry.",gift,5.00,60,active,product_images/Gift sets_27.jpg,2025-02-26 02:21:38.261292,2025-02-26 02:21:38.261292
